level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
3977,3977,Madrid Masters,Clay,20180507,104745,31.9,106043,6-3 6-4,R16,1,1,63,44,29,14,10,3,4,1,70,66,78
4024,4024,Rome Masters,Clay,20180514,104745,31.9,106000,6-1 6-0,R32,0,1,37,25,19,9,7,0,0,1,68,76,82
4032,4032,Rome Masters,Clay,20180514,104745,31.9,133430,6-4 6-1,R16,2,1,37,31,28,4,8,0,0,1,84,90,80
4036,4036,Rome Masters,Clay,20180514,104745,31.9,104926,4-6 6-1 6-2,QF,3,1,74,46,35,16,13,3,5,1,62,76,59
4038,4038,Rome Masters,Clay,20180514,104745,31.9,104925,7-6(4) 6-3,SF,1,2,65,39,25,18,10,2,3,1,60,64,75
4039,4039,Rome Masters,Clay,20180514,104745,31.9,100644,6-1 1-6 6-3,F,0,1,72,47,27,17,12,7,11,1,65,57,71
4094,4094,Roland Garros,Clay,20180528,104745,31.9,104620,6-4 6-3 7-6(9),R128,2,3,109,63,47,27,16,5,7,1,58,75,63
4158,4158,Roland Garros,Clay,20180528,104745,31.9,105550,6-2 6-1 6-1,R64,4,3,60,34,29,17,11,4,4,1,57,85,74
4190,4190,Roland Garros,Clay,20180528,104745,31.9,104755,6-3 6-2 6-2,R32,3,2,63,39,33,17,13,1,2,1,62,85,77
4206,4206,Roland Garros,Clay,20180528,104745,31.9,109739,6-3 6-2 7-6(4),R16,4,3,91,60,42,19,15,3,5,1,66,70,68
4214,4214,Roland Garros,Clay,20180528,104745,31.9,106043,4-6 6-3 6-2 6-2,QF,1,3,129,74,45,30,18,15,20,1,57,61,58
4218,4218,Roland Garros,Clay,20180528,104745,31.9,105223,6-4 6-1 6-2,SF,0,3,83,51,37,21,13,7,7,1,61,73,72
4220,4220,Roland Garros,Clay,20180528,104745,31.9,106233,6-4 6-3 6-2,F,0,3,82,56,46,12,14,2,3,1,68,82,52
4452,4452,Wimbledon,Grass,20180702,104745,32,104534,6-3 6-3 6-2,R128,3,4,76,56,44,11,13,3,4,1,74,79,69
4484,4484,Wimbledon,Grass,20180702,104745,32,105062,6-4 6-3 6-4,R64,5,3,101,67,43,24,15,11,13,1,66,64,77
4500,4500,Wimbledon,Grass,20180702,104745,32,200282,6-1 6-2 6-4,R32,5,1,76,44,34,23,13,3,3,1,58,77,74
4508,4508,Wimbledon,Grass,20180702,104745,32,106210,6-3 6-3 6-4,R16,9,1,73,50,39,17,14,0,1,1,68,78,77
4512,4512,Wimbledon,Grass,20180702,104745,32,105223,7-5 6-7(7) 4-6 6-4 6-4,QF,3,5,166,116,86,31,28,5,7,1,70,74,69
4820,4820,Canada Masters,Hard,20180806,104745,32.1,105332,6-2 6-3,R32,0,1,49,33,19,8,9,2,5,1,67,58,53
4828,4828,Canada Masters,Hard,20180806,104745,32.1,104527,7-5 7-6(4),R16,2,0,71,44,33,17,12,3,5,1,62,75,63
4832,4832,Canada Masters,Hard,20180806,104745,32.1,105227,2-6 6-4 6-4,QF,4,4,96,57,41,18,14,11,14,1,59,72,51
4834,4834,Canada Masters,Hard,20180806,104745,32.1,111575,7-6(3) 6-4,SF,2,1,69,45,32,14,11,0,1,1,65,71,61
4835,4835,Canada Masters,Hard,20180806,104745,32.1,126774,6-2 7-6(4),F,4,2,57,32,30,15,10,2,3,1,56,94,65
4937,4937,US Open,Hard,20180827,104745,32.2,103970,6-3 3-4 RET,R128,2,3,45,28,20,8,8,1,3,1,62,71,57
5001,5001,US Open,Hard,20180827,104745,32.2,105577,6-3 6-4 6-2,R64,5,2,75,55,46,10,14,4,5,1,73,84,56
5033,5033,US Open,Hard,20180827,104745,32.2,111575,5-7 7-5 7-6(7) 7-6(3),R32,0,3,144,89,63,34,26,6,11,1,62,71,65
5049,5049,US Open,Hard,20180827,104745,32.2,105932,6-3 6-3 6-7(6) 6-4,R16,7,3,118,77,58,25,20,5,7,1,65,75,66
5057,5057,US Open,Hard,20180827,104745,32.2,106233,0-6 6-4 7-5 6-7(4) 7-6(5),QF,3,4,167,110,74,32,26,7,13,1,66,67,60
5637,5637,Melbourne,Hard,20220103,104745,35.5,202195,7-6(6) 6-3,F,9,4,64,41,32,15,11,0,1,1,64,78,79
5638,5638,Melbourne,Hard,20220103,104745,35.5,200325,6-4 7-5,SF,3,1,68,47,36,11,11,5,6,1,69,77,55
5643,5643,Melbourne,Hard,20220103,104745,35.5,105575,6-2 7-5,R16,3,2,57,36,28,9,10,0,2,1,63,78,47
5748,5748,Australian Open,Hard,20220117,104745,35.6,106218,6-1 6-4 6-2,R128,7,2,72,51,43,13,13,2,2,1,71,84,68
5796,5796,Australian Open,Hard,20220117,104745,35.6,105870,6-2 6-3 6-4,R64,1,5,85,46,35,25,14,2,2,1,54,76,74
5819,5819,Australian Open,Hard,20220117,104745,35.6,111575,6-3 6-2 3-6 6-1,R32,4,6,98,66,55,18,17,4,5,1,67,83,69
5831,5831,Australian Open,Hard,20220117,104745,35.6,105173,7-6(14) 6-2 6-2,R16,16,6,88,48,42,24,14,1,2,1,55,88,71
5837,5837,Australian Open,Hard,20220117,104745,35.6,133430,6-3 6-4 4-6 3-6 6-3,QF,8,11,146,100,79,21,24,6,8,1,68,79,60
5840,5840,Australian Open,Hard,20220117,104745,35.6,126610,6-3 6-2 3-6 6-3,SF,5,2,102,70,51,20,18,1,2,1,69,73,67
5842,5842,Australian Open,Hard,20220117,104745,35.6,106421,2-6 6-7(5) 6-4 6-4 7-5,F,3,5,189,117,78,34,26,16,22,1,62,67,51
6117,6117,Acapulco,Hard,20220221,104745,35.7,111815,6-4 6-4,F,3,0,57,45,32,5,10,3,5,1,79,71,42
6118,6118,Acapulco,Hard,20220221,104745,35.7,106421,6-3 6-3,SF,2,1,80,57,37,15,9,11,11,1,71,65,68
6121,6121,Acapulco,Hard,20220221,104745,35.7,126205,6-0 7-6(5),QF,2,4,67,39,27,13,9,4,7,1,58,69,54
6126,6126,Acapulco,Hard,20220221,104745,35.7,111578,6-0 6-3,R16,2,0,40,31,24,6,8,0,1,1,78,77,67
6135,6135,Acapulco,Hard,20220221,104745,35.7,106045,6-3 6-2,R32,8,0,40,27,26,10,9,0,0,1,68,96,77
6206,6206,Indian Wells Masters,Hard,20220307,104745,35.7,207989,6-4 4-6 6-3,SF,2,4,108,72,45,16,15,9,14,1,67,62,50
6209,6209,Indian Wells Masters,Hard,20220307,104745,35.7,106401,7-6(0) 5-7 6-4,QF,10,7,102,67,52,17,17,3,5,1,66,78,61
6214,6214,Indian Wells Masters,Hard,20220307,104745,35.7,124187,7-6(3) 7-6(5),R16,6,3,73,51,43,16,12,3,4,1,70,84,84
6223,6223,Indian Wells Masters,Hard,20220307,104745,35.7,105554,7-5 6-3,R32,4,5,66,40,30,17,11,3,4,1,61,75,81
6242,6242,Indian Wells Masters,Hard,20220307,104745,35.7,200624,6-2 1-6 7-6(3),R64,5,8,98,61,37,19,13,7,11,1,62,61,66
6640,6640,Madrid Masters,Clay,20220502,104745,35.9,105676,6-3 5-7 7-6(9),R16,7,4,109,72,55,20,17,2,5,1,66,76,61
6650,6650,Madrid Masters,Clay,20220502,104745,35.9,200175,6-1 7-6(4),R32,3,3,65,44,32,11,10,2,4,1,68,73,61
6705,6705,Rome Masters,Clay,20220509,104745,35.9,104545,6-3 6-1,R32,1,2,49,27,22,13,8,2,2,1,55,81,65
7025,7025,Wimbledon,Grass,20220627,104745,36,202103,6-4 6-3 3-6 6-4,R128,5,3,127,88,62,17,19,14,18,1,69,70,47
7056,7056,Wimbledon,Grass,20220627,104745,36,105575,6-4 6-4 4-6 6-3,R64,13,4,119,78,56,25,20,3,5,1,66,72,68
7072,7072,Wimbledon,Grass,20220627,104745,36,132283,6-1 6-2 6-4,R32,2,4,67,45,35,14,13,0,1,1,67,78,78
7080,7080,Wimbledon,Grass,20220627,104745,36,122298,6-4 6-2 7-6(6),R16,9,2,88,56,41,21,15,2,4,1,64,73,70
7084,7084,Wimbledon,Grass,20220627,104745,36,126203,3-6 7-5 3-6 7-5 7-6(4),QF,5,7,164,107,75,27,28,6,14,1,65,70,54
7573,7573,Us Open,Hard,20220829,104745,36.2,208014,4-6 6-2 6-3 6-3,R128,9,2,100,57,44,28,18,3,4,1,57,77,68
7604,7604,Us Open,Hard,20220829,104745,36.2,104926,2-6 6-4 6-2 6-1,R64,4,2,87,53,36,16,17,4,10,1,61,68,50
7620,7620,Us Open,Hard,20220829,104745,36.2,104755,6-0 6-1 7-5,R32,2,8,85,50,39,17,13,6,7,1,59,78,63
7699,7699,Atp Cup,Hard,20200106,104745,33.5,200282,4-6 7-5 6-1,SF,5,3,84,61,48,10,15,1,3,1,73,79,50
7721,7721,Atp Cup,Hard,20200106,104745,33.5,106415,7-6(4) 6-4,RR,7,3,76,48,33,18,11,6,8,1,63,69,72
7723,7723,Atp Cup,Hard,20200106,104745,33.5,105932,6-3 7-5,RR,2,2,56,35,26,12,11,2,5,1,62,74,63
7725,7725,Atp Cup,Hard,20200106,104745,33.5,104655,6-2 6-1,RR,6,1,44,27,24,11,8,1,1,1,61,89,69
7862,7862,Australian Open,Hard,20200120,104745,33.6,106198,6-2 6-3 6-0,R128,5,5,71,44,31,16,12,3,5,1,62,70,73
7926,7926,Australian Open,Hard,20200120,104745,33.6,105643,6-3 7-6(4) 6-1,R64,8,1,89,61,52,17,14,0,0,1,69,85,63
7957,7957,Australian Open,Hard,20200120,104745,33.6,105807,6-1 6-2 6-4,R32,9,0,62,39,34,18,13,0,0,1,63,87,78
7973,7973,Australian Open,Hard,20200120,104745,33.6,106401,6-3 3-6 7-6(6) 7-6(4),R16,12,4,120,78,66,27,21,1,3,1,65,85,71
8240,8240,Acapulco,Hard,20200224,104745,33.7,126203,6-3 6-2,F,1,2,46,29,24,13,9,1,1,1,63,83,87
8241,8241,Acapulco,Hard,20200224,104745,33.7,105777,6-3 6-2,SF,4,3,65,41,28,9,9,4,6,1,63,68,43
8243,8243,Acapulco,Hard,20200224,104745,33.7,126952,6-2 6-1,QF,5,2,57,32,24,16,8,8,8,1,56,75,70
8247,8247,Acapulco,Hard,20200224,104745,33.7,200175,6-2 7-5,R16,3,3,59,32,26,12,10,1,3,1,54,81,50
8255,8255,Acapulco,Hard,20200224,104745,33.7,104665,6-3 6-2,R32,4,2,49,29,21,11,9,2,4,1,59,72,61
8552,8552,Rome Masters,Clay,20200914,104745,34.2,105583,6-1 6-3,R16,2,1,41,27,17,9,8,2,4,1,66,63,69
8568,8568,Rome Masters,Clay,20200914,104745,34.2,105807,6-1 6-1,R32,2,2,39,19,15,16,7,1,1,1,49,79,89
8686,8686,Roland Garros,Clay,20200928,104745,34.3,106078,6-4 6-4 6-2,R128,3,2,71,45,37,17,14,1,2,1,63,82,71
8718,8718,Roland Garros,Clay,20200928,104745,34.3,111456,6-1 6-0 6-3,R64,1,4,72,49,37,14,11,0,0,1,68,76,74
8734,8734,Roland Garros,Clay,20200928,104745,34.3,105882,6-1 6-4 6-0,R32,2,0,62,45,35,14,12,0,0,1,73,78,82
8742,8742,Roland Garros,Clay,20200928,104745,34.3,200624,6-1 6-1 6-2,R16,1,1,78,53,33,18,11,5,6,1,68,62,75
8746,8746,Roland Garros,Clay,20200928,104745,34.3,206173,7-6(4) 6-4 6-1,QF,0,1,97,63,42,20,15,5,7,1,65,67,61
8748,8748,Roland Garros,Clay,20200928,104745,34.3,106043,6-3 6-3 7-6(0),SF,3,0,117,81,55,19,15,9,12,1,69,68,53
8749,8749,Roland Garros,Clay,20200928,104745,34.3,104925,6-0 6-2 7-5,F,4,1,84,55,37,19,13,4,5,1,65,67,68
8923,8923,Paris Masters,Hard,20201102,104745,34.4,105807,4-6 7-5 6-1,QF,7,2,84,52,42,20,15,4,5,1,62,81,67
8927,8927,Paris Masters,Hard,20201102,104745,34.4,111442,6-1 7-6(3),R16,3,3,59,36,31,16,10,1,1,1,61,86,80
8935,8935,Paris Masters,Hard,20201102,104745,34.4,103852,4-6 7-6(5) 6-4,R32,16,3,91,57,51,19,16,3,4,1,63,89,61
9011,9011,Tour Finals,Hard,20201116,104745,34.4,126774,6-4 4-6 6-2,RR,8,1,72,47,38,15,14,1,3,1,65,81,62
9012,9012,Tour Finals,Hard,20201116,104745,34.4,126094,6-3 6-4,RR,2,0,54,39,32,10,10,0,0,1,72,82,67
9126,9126,Madrid Masters,Hard,20081012,104745,22.3,105208,7-5 3-6 6-3,R32,2,2,98,66,47,18,15,4,5,1,67,71,60
9142,9142,Madrid Masters,Hard,20081012,104745,22.3,104755,6-4 6-2,R16,2,2,57,33,27,13,9,4,4,1,58,82,59
9150,9150,Madrid Masters,Hard,20081012,104745,22.3,103852,6-4 6-4,QF,0,0,61,43,32,13,10,2,2,1,70,74,72
9332,9332,Queen's Club,Grass,20080609,104745,22,102035,6-2 6-2,R32,2,1,43,26,25,9,8,1,1,1,60,96,56
9348,9348,Queen's Club,Grass,20080609,104745,22,105453,6-4 3-6 6-3,R16,9,2,93,62,46,17,14,5,6,1,67,74,59
9356,9356,Queen's Club,Grass,20080609,104745,22,103333,6-7(5) 7-6(5) 7-6(4),QF,6,3,113,80,65,25,18,0,0,1,71,81,83
9359,9359,Queen's Club,Grass,20080609,104745,22,104053,7-5 6-4,SF,7,0,61,45,35,12,11,4,4,1,74,78,75
9361,9361,Queen's Club,Grass,20080609,104745,22,104925,7-6(6) 7-5,F,3,0,82,50,34,16,12,5,8,1,61,68,50
9789,9789,Paris Masters,Hard,20081026,104745,22.4,103722,6-2 6-4,R32,5,0,47,26,22,15,9,1,1,1,55,85,71
9805,9805,Paris Masters,Hard,20081026,104745,22.4,104792,6-3 6-2,R16,0,0,61,35,26,17,9,9,9,1,57,74,65
9973,9973,Miami Masters,Hard,20080327,104745,21.8,103794,7-5 6-2,R64,8,1,52,33,24,15,10,2,3,1,63,73,83
9989,9989,Miami Masters,Hard,20080327,104745,21.8,103017,6-2 6-4,R32,6,0,52,34,27,12,9,0,0,1,65,79,67
9997,9997,Miami Masters,Hard,20080327,104745,21.8,103908,6-4 6-4,R16,3,1,55,42,36,4,10,0,1,1,76,86,33
10001,10001,Miami Masters,Hard,20080327,104745,21.8,103484,3-6 6-3 6-1,QF,3,0,66,47,31,16,12,2,3,1,71,66,84
10003,10003,Miami Masters,Hard,20080327,104745,21.8,104607,7-6(6) 6-2,SF,6,2,63,43,33,14,10,3,4,1,68,77,78
10068,10068,Indian Wells Masters,Hard,20080313,104745,21.7,105053,6-3 6-3,R64,0,1,46,33,24,9,9,1,2,1,72,73,75
10084,10084,Indian Wells Masters,Hard,20080313,104745,21.7,105385,6-1 6-3,R32,0,1,50,34,26,8,8,1,1,1,68,76,53
10092,10092,Indian Wells Masters,Hard,20080313,104745,21.7,104542,6-7(4) 7-6(3) 7-5,R16,3,1,106,74,54,20,18,4,7,1,70,73,65
10095,10095,Indian Wells Masters,Hard,20080313,104745,21.7,103484,7-5 3-6 6-3,QF,6,1,93,70,44,16,15,6,8,1,75,63,73
10099,10099,Rotterdam,Hard,20080218,104745,21.7,104098,6-4 6-4,R32,2,1,52,35,29,11,10,0,0,1,67,83,69
10169,10169,Monte Carlo Masters,Clay,20080420,104745,21.8,104339,6-0 6-3,R32,1,0,40,35,25,4,8,0,1,1,88,71,80
10177,10177,Monte Carlo Masters,Clay,20080420,104745,21.8,103507,6-4 6-1,R16,3,0,51,34,23,9,9,0,2,1,67,68,53
