index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
46431,0,31.9,8,2,77,12,1,1,142,0,68,73,65
46432,0,18.2,2,1,52,9,9,9,95,1,67,74,62
46433,0,20.9,2,3,53,8,2,6,56,0,64,62,44
46434,0,24.9,0,2,79,12,6,9,79,1,72,63,65
46435,0,21.6,3,1,55,8,3,3,112,1,67,70,65
46436,0,34.4,9,0,63,10,0,2,17,0,76,58,73
46437,0,25.2,11,3,74,11,3,3,38,1,57,81,72
46438,0,26.4,3,3,69,11,3,3,101,1,55,84,64
46439,1,24,2,5,89,15,3,6,48,0,47,76,60
46440,0,21.5,5,2,38,6,0,0,6,1,63,88,83
46441,0,25.5,3,5,61,10,2,4,25,0,49,60,73
46442,0,29,7,3,71,10,3,6,74,0,59,60,62
46443,0,25.7,5,1,69,9,4,5,25,1,67,72,45
46444,0,22.3,9,6,90,17,0,1,100,1,58,90,69
46445,1,28.5,1,4,45,8,2,7,35,0,44,55,43
46446,0,22.5,5,2,52,10,1,4,2,0,67,77,40
46447,0,19.6,18,10,164,26,7,14,406,0,49,72,58
46448,0,25.7,7,1,52,10,0,0,6,1,69,92,67
46449,0,29.9,10,2,48,10,0,0,75,1,60,93,82
46450,0,23,9,5,85,14,2,2,16,1,54,85,65
46451,0,25.7,7,2,46,8,0,0,11,1,76,77,67
46452,0,27.5,6,3,51,8,2,8,639,0,49,56,26
46453,1,23.1,15,11,90,13,5,6,157,1,52,81,62
46454,1,21.8,2,1,72,11,2,6,35,1,67,62,48
46455,0,24.3,3,0,14,3,0,0,212,1,71,90,75
46456,1,34.1,8,3,145,18,13,15,65,1,57,75,58
46457,0,23.3,1,7,95,15,5,8,41,0,52,69,62
46458,0,28.3,7,3,64,11,1,5,129,0,64,68,40
46459,0,23.3,7,4,188,28,9,21,67,0,60,58,54
46460,0,20.6,1,2,48,8,2,8,273,0,44,43,40
46461,0,29.4,8,1,55,10,3,8,88,1,58,62,41
46462,0,22.1,4,2,96,16,1,3,23,0,58,75,63
46463,0,20.2,5,3,68,11,4,5,225,1,68,80,74
46464,0,33,5,0,74,14,0,0,64,1,68,74,79
46465,0,35.3,0,1,60,9,4,8,56,0,48,55,50
46466,0,32.1,6,1,121,19,4,9,70,0,70,69,49
46467,0,33.1,5,6,119,18,8,14,97,0,50,60,55
46468,0,20.3,0,1,49,8,1,1,169,1,61,87,56
46469,0,28.3,1,3,57,9,5,7,17,1,54,65,65
46470,0,24.1,3,2,59,9,6,9,37,0,68,62,65
46471,0,20.4,5,4,93,16,0,0,34,1,51,96,64
46472,0,22.4,9,3,74,10,11,11,24,1,57,74,62
46473,0,26.2,6,1,43,8,0,0,11,1,72,74,91
46474,0,34.4,8,1,59,10,3,3,61,1,66,82,58
46475,0,28.4,4,5,83,14,3,7,70,0,64,68,60
46476,0,26.9,2,2,84,10,8,10,17,1,71,62,59
46477,0,25.9,0,4,47,8,1,5,78,0,49,57,55
46478,0,22.4,1,5,73,9,6,7,109,1,59,67,64
46479,0,18.9,1,4,106,16,3,10,11,0,64,62,50
46480,0,31.8,12,3,105,16,3,7,77,0,52,69,55
46481,0,27.5,5,2,74,12,3,7,83,0,65,71,38
46482,0,23.5,5,0,63,10,7,7,97,1,63,72,70
46483,0,32.1,6,6,94,13,10,14,32,0,55,69,50
46484,1,24.6,7,1,103,17,5,7,59,1,63,80,59
46485,0,26.6,4,5,95,15,4,10,41,0,62,58,52
46486,0,20.1,15,4,114,17,8,10,63,1,71,78,55
46487,0,25.6,1,1,45,8,1,1,24,1,67,87,57
46488,0,32.4,7,2,58,9,2,3,15,1,57,88,48
46489,1,24.8,5,9,120,14,9,13,276,0,50,72,43
46490,0,23.6,8,5,97,16,8,11,43,0,40,77,60
46491,0,22.2,8,6,137,21,10,14,59,1,64,69,60
46492,1,29.6,10,4,87,15,3,7,99,1,57,70,55
46493,0,24.7,7,2,77,10,6,6,126,1,61,74,57
46494,1,30.8,4,3,51,8,3,6,98,0,63,59,56
46495,0,23.5,6,5,78,12,3,4,4,1,65,76,59
46496,0,28.9,4,2,54,10,2,6,25,0,61,61,58
46497,0,26.8,2,1,55,10,5,9,295,0,62,65,45
46498,0,23.4,8,4,110,15,7,8,10,1,65,76,59
46499,0,29.8,8,7,126,15,11,16,40,1,54,66,53
46500,0,20.5,7,6,100,17,7,11,776,0,59,75,60
46501,0,29.1,11,5,168,25,14,19,86,0,68,67,61
