level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59365,59365,Tokyo,Hard,20151005,104527,30.5,105572,6-3 6-4,QF,9,1,61,32,26,18,10,2,2,1,52,81,64
59369,59369,Tokyo,Hard,20151005,104527,30.5,104180,6-4 7-6(5),SF,8,0,64,34,26,21,11,1,3,1,53,76,70
59371,59371,Tokyo,Hard,20151005,104527,30.5,105332,6-2 6-4,F,4,1,58,31,20,19,9,3,4,1,53,65,73
59407,59407,Shanghai Masters,Hard,20151011,104527,30.5,104678,7-6(3) 6-3,R32,5,4,82,49,36,18,11,2,3,1,60,73,62
59417,59417,Shanghai Masters,Hard,20151011,104527,30.5,105227,7-5 6-7(7) 6-4,R16,7,1,126,64,46,33,17,9,11,1,51,72,54
59590,59590,Paris Masters,Hard,20151102,104527,30.5,106071,6-3 7-6(6),R32,13,1,80,37,32,23,11,5,5,1,46,86,55
59604,59604,Paris Masters,Hard,20151102,104527,30.5,104678,6-4 7-5,R16,6,3,76,38,26,22,11,5,7,1,50,68,63
59611,59611,Paris Masters,Hard,20151102,104527,30.5,104745,7-6(8) 7-6(7),QF,11,1,90,54,44,18,12,6,8,1,60,81,51
59624,59624,Tour Finals,Hard,20151115,104527,30.6,103970,7-5 6-2,RR,3,0,55,30,20,19,10,0,1,1,55,67,76
59628,59628,Tour Finals,Hard,20151115,104527,30.6,104918,7-6(4) 6-4,RR,4,4,80,36,27,26,11,8,10,1,45,75,65
65582,65582,Chennai,Hard,20131230,104527,28.7,103794,6-3 6-1,R16,4,3,46,29,25,10,8,4,4,1,63,86,71
65589,65589,Chennai,Hard,20131230,104527,28.7,105379,6-2 6-1,QF,4,4,54,32,20,10,7,5,7,1,59,62,56
65593,65593,Chennai,Hard,20131230,104527,28.7,105577,6-4 5-5 RET,SF,4,3,90,51,38,17,10,9,10,1,57,75,47
65595,65595,Chennai,Hard,20131230,104527,28.7,104273,7-5 6-2,F,5,2,63,35,25,20,10,1,1,1,56,71,77
65729,65729,Australian Open,Hard,20140113,104527,28.7,104979,6-4 4-1 RET,R128,4,1,35,22,20,6,7,1,2,1,63,91,50
65769,65769,Australian Open,Hard,20140113,104527,28.7,104268,6-3 6-3 6-7(4) 6-4,R64,9,4,124,68,57,31,20,5,7,1,55,84,60
65798,65798,Australian Open,Hard,20140113,104527,28.7,103990,6-3 7-6(3) 7-6(5),R16,14,3,107,62,54,24,17,3,4,1,58,87,57
65803,65803,Australian Open,Hard,20140113,104527,28.7,104925,2-6 6-4 6-2 3-6 9-7,QF,17,5,170,98,71,36,25,3,7,1,58,72,54
65805,65805,Australian Open,Hard,20140113,104527,28.7,104607,6-3 6-7(1) 7-6(3) 7-6(4),SF,18,4,145,88,72,32,23,1,1,1,61,82,60
65806,65806,Australian Open,Hard,20140113,104527,28.7,104745,6-3 6-2 3-6 6-3,F,19,2,96,53,46,22,18,4,6,1,55,87,54
66192,66192,Indian Wells Masters,Hard,20140306,104527,28.9,103333,6-3 7-5,R64,8,1,56,32,28,17,11,0,0,1,57,88,74
66220,66220,Indian Wells Masters,Hard,20140306,104527,28.9,104312,6-0 6-2,R32,7,3,38,22,19,10,7,0,0,1,58,86,77
66287,66287,Miami Masters,Hard,20140319,104527,28.9,104593,6-0 3-6 6-3,R64,8,3,83,49,40,15,12,4,6,1,59,82,48
66315,66315,Miami Masters,Hard,20140319,104527,28.9,104273,7-5 6-4,R32,6,2,63,34,26,17,11,2,3,1,54,76,63
66420,66420,Monte Carlo Masters,Clay,20140413,104527,29,105227,6-0 6-2,R32,3,1,34,23,18,10,7,0,0,1,68,78,100
66440,66440,Monte Carlo Masters,Clay,20140413,104527,29,105683,7-6(5) 6-2,QF,5,3,63,30,24,22,10,0,0,1,48,80,73
66443,66443,Monte Carlo Masters,Clay,20140413,104527,29,103970,6-1 7-6(3),SF,6,1,66,34,29,18,10,2,2,1,52,85,58
66445,66445,Monte Carlo Masters,Clay,20140413,104527,29,103819,4-6 7-6(5) 6-2,F,5,2,93,54,43,22,15,1,3,1,58,80,59
66656,66656,Rome Masters,Clay,20140511,104527,29.1,105137,6-0 6-3,R32,3,0,41,25,24,9,8,1,1,1,61,96,56
66913,66913,Queen's Club,Grass,20140609,104527,29.1,104571,3-2 RET,R32,4,1,15,8,7,5,3,0,0,1,53,88,83
66929,66929,Queen's Club,Grass,20140609,104527,29.1,105023,6-2 6-2,R16,7,1,42,26,21,11,8,0,0,1,62,81,73
66937,66937,Queen's Club,Grass,20140609,104527,29.1,104594,7-5 6-3,QF,10,3,59,33,27,18,11,0,0,1,56,82,78
67032,67032,Wimbledon,Grass,20140623,104527,29.2,105311,6-3 6-4 6-3,R128,18,2,80,51,44,16,14,0,0,1,64,86,59
67080,67080,Wimbledon,Grass,20140623,104527,29.2,104229,7-6(6) 6-3 3-6 7-5,R64,13,2,136,67,53,36,21,4,8,1,49,79,54
67104,67104,Wimbledon,Grass,20140623,104527,29.2,104797,6-3 6-3 6-4,R32,12,1,72,41,34,23,14,3,3,1,57,83,77
67116,67116,Wimbledon,Grass,20140623,104527,29.2,103852,7-6(5) 7-6(7) 6-3,R16,31,2,95,63,56,25,17,0,0,1,66,89,83
67465,67465,Canada Masters,Hard,20140804,104527,29.3,105332,4-6 6-3 7-6(2),R32,12,6,105,57,44,25,16,5,7,1,54,77,60
67519,67519,Cincinnati Masters,Hard,20140810,104527,29.3,103794,6-3 7-6(5),R32,8,2,75,45,37,15,11,2,3,1,60,82,54
67533,67533,Cincinnati Masters,Hard,20140810,104527,29.3,105227,3-6 6-0 6-1,R16,7,5,67,31,26,20,11,3,4,1,46,84,65
67608,67608,US Open,Hard,20140825,104527,29.4,106210,6-2 7-6(6) 7-6(3),R128,9,7,100,47,38,31,16,2,4,1,47,81,67
67664,67664,US Open,Hard,20140825,104527,29.4,105064,6-3 6-4 3-6 7-6(1),R64,16,1,106,74,63,16,20,0,3,1,70,85,52
67704,67704,US Open,Hard,20140825,104527,29.4,103990,7-5 4-6 7-6(7) 6-2,R16,18,6,133,73,58,35,21,6,8,1,55,79,65
68083,68083,Paris Masters,Hard,20141027,104527,29.5,106233,6-4 7-6(6),R32,2,2,73,45,38,12,11,2,3,1,62,84,46
68106,68106,Tour Finals,Hard,20141109,104527,29.6,104607,6-1 6-1,RR,5,0,33,22,21,7,7,0,0,1,67,95,64
68107,68107,Tour Finals,Hard,20141109,104527,29.6,105227,6-3 4-6 6-3,RR,7,4,78,38,28,25,14,1,3,1,49,74,69
68148,68148,Doha,Hard,20181231,104527,33.7,105138,6-4 6-4,QF,7,0,86,51,32,18,10,12,14,0,59,63,51
68333,68333,Australian Open,Hard,20190114,104527,33.7,105683,6-7(4) 7-6(6) 7-6(11) 7-6(5),R64,28,2,170,102,84,38,24,5,7,0,60,82,58
68451,68451,Sofia,Hard,20190204,104527,33.8,105657,3-6 7-6(5) 6-4,R32,13,1,90,56,48,23,16,6,7,0,62,86,70
68516,68516,Rotterdam,Hard,20190211,104527,33.8,104792,6-3 1-6 6-2,F,2,0,71,41,26,16,12,6,10,0,58,63,53
68638,68638,Acapulco,Hard,20190225,104527,33.9,106401,7-5 6-7(3) 6-4,QF,15,4,106,60,48,22,17,5,8,0,57,80,52
68747,68747,Indian Wells Masters,Hard,20190304,104527,33.9,103819,6-3 6-4,R32,8,1,51,37,22,10,9,4,6,0,73,59,77
68868,68868,Miami Masters,Hard,20190318,104527,33.9,105936,5-7 6-2 7-6(5),R64,11,3,109,64,46,16,16,6,10,0,59,72,38
68993,68993,Monte Carlo Masters,Clay,20190415,104527,34,106065,0-6 7-5 6-3,R32,5,2,69,36,25,18,13,0,3,0,52,69,58
69153,69153,Madrid Masters,Clay,20190506,104527,34.1,104745,6-1 6-2,QF,3,2,45,26,14,6,7,6,10,0,58,54,35
69237,69237,Rome Masters,Clay,20190513,104527,34.1,105676,4-6 6-0 6-2,R64,7,1,74,41,25,14,12,4,10,0,55,61,44
69270,69270,Geneva,Clay,20190520,104527,34.1,106000,3-6 6-3 6-4,R16,5,1,93,57,39,17,14,7,11,0,61,68,49
69431,69431,Roland Garros,Clay,20190527,104527,34.1,103819,7-6(4) 4-6 7-6(5) 6-4,QF,8,7,171,113,81,27,22,16,18,0,66,72,53
69532,69532,Queen's Club,Grass,20190617,104527,34.2,103917,3-6 7-5 7-6(2),R16,18,2,92,60,53,16,17,5,7,0,65,88,53
69678,69678,Wimbledon,Grass,20190701,104527,34.2,124187,7-5 3-6 4-6 6-4 8-6,R64,17,5,144,87,71,36,28,7,10,0,60,82,69
70019,70019,Canada Masters,Hard,20190805,104527,34.3,111575,6-4 6-7(3) 6-2,R32,10,1,90,61,43,12,15,2,7,0,68,70,43
70070,70070,Cincinnati Masters,Hard,20190812,104527,34.3,126094,6-4 6-4,R32,11,0,50,24,21,13,10,0,2,0,48,88,50
70270,70270,US Open,Hard,20190826,104527,34.4,106421,7-6(6) 6-3 3-6 6-1,QF,10,4,111,72,56,15,18,4,8,0,65,78,43
70502,70502,Antwerp,Hard,20191014,104527,34.5,104918,3-6 6-4 6-4,F,12,1,93,56,38,18,15,5,10,0,60,68,50
70657,70657,Paris Masters,Hard,20191028,104527,34.5,104745,6-4 6-4,R16,7,0,51,32,24,11,10,1,3,0,63,75,58
71030,71030,Australian Open,Hard,20180115,104527,32.8,105815,6-2 6-1 6-4,R64,4,2,83,55,32,14,12,8,13,0,66,58,54
71256,71256,Sofia,Hard,20180205,104527,32.8,105806,7-6(6) 6-4,SF,4,4,73,40,28,19,11,1,3,0,55,70,66
71324,71324,Rotterdam,Hard,20180212,104527,32.8,134868,4-6 6-3 6-2,R32,7,2,78,39,29,20,13,5,8,0,50,74,54
71385,71385,Marseille,Hard,20180219,104527,32.8,125802,6-4 1-1 RET,R16,3,1,47,27,16,10,6,7,9,0,57,59,53
72112,72112,Rome Masters,Clay,20180514,104527,33.1,105449,6-4 6-4,R64,6,3,55,33,26,11,10,0,2,0,60,79,58
72179,72179,Geneva,Clay,20180521,104527,33.1,105916,6-4 6-0,QF,1,0,53,37,20,6,8,5,10,0,70,54,38
72270,72270,Roland Garros,Clay,20180528,104527,33.1,104198,6-2 3-6 4-6 7-6(5) 6-3,R128,5,4,178,100,73,36,24,14,19,0,56,73,49
72444,72444,Queen's Club,Grass,20180618,104527,33.2,105023,7-5 6-7(3) 6-1,R16,8,2,89,56,43,16,15,3,7,0,63,77,52
