index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
5966,Hard,29.1,4,5,70,10,3,5,0,61,70,59
5967,Hard,24.9,3,2,56,9,7,8,1,55,77,70
5968,Carpet,24.1,9,3,67,12,2,3,1,58,90,72
5969,Carpet,27.2,9,1,78,12,2,2,1,72,84,67
5970,Hard,29.4,0,5,32,4,1,3,0,62,55,57
5971,Clay,23.1,3,2,82,13,1,4,1,60,69,55
5972,Hard,23,27,3,104,16,5,5,1,64,85,68
5973,Clay,26.6,3,6,69,9,7,12,0,51,51,54
5974,Hard,28,0,4,102,11,11,15,0,61,65,39
5975,Clay,24.3,1,2,54,9,2,6,0,70,53,57
5976,Clay,24.3,1,2,89,14,6,10,1,63,70,52
5977,Clay,23.4,0,0,32,6,5,8,0,59,42,46
5978,Hard,24.1,3,5,154,24,19,28,1,54,57,61
5979,Hard,22.3,4,3,76,9,12,17,0,59,56,43
5980,Clay,27.5,4,4,78,12,4,9,1,63,65,44
5981,Carpet,26.6,3,1,54,9,2,3,1,43,61,70
5982,Hard,24.3,4,0,48,8,1,1,1,52,84,61
5983,Hard,32.4,3,2,83,14,3,6,0,60,70,61
5984,Clay,30.5,7,2,60,9,0,1,1,83,80,50
5985,Clay,23.6,1,6,51,8,4,9,0,39,60,40
5986,Clay,33.5,4,4,112,15,9,13,0,65,66,43
5987,Clay,23,3,2,50,7,5,10,0,64,47,38
5988,Hard,30.8,0,1,58,10,2,9,0,60,43,36
5989,Clay,23.2,2,2,59,10,3,5,1,53,77,54
5990,Hard,27.7,2,1,36,6,1,2,0,61,73,62
5991,Hard,22.9,5,3,61,9,4,8,0,61,57,52
5992,Hard,26.9,7,10,88,12,5,8,0,55,77,57
5993,Clay,24.2,0,0,12,2,0,2,0,50,17,33
5994,Grass,25.5,5,2,69,10,4,7,0,71,67,33
5995,Hard,22.9,1,0,48,9,0,3,0,71,62,57
5996,Hard,23.8,12,2,55,8,6,7,1,69,76,60
5997,Hard,30.3,5,3,72,11,2,4,0,60,70,65
5998,Hard,30,10,5,148,19,11,14,0,64,72,49
5999,Clay,35.9,2,3,64,8,5,10,0,55,57,35
6000,Clay,25.8,2,2,55,9,4,8,0,75,61,33
6001,Hard,28.1,2,2,45,9,1,1,1,58,92,76
6002,Hard,35.1,1,3,59,7,5,11,0,61,44,40
6003,Clay,24.3,2,4,61,10,1,2,1,62,68,79
6004,Clay,23.1,9,2,117,20,0,3,0,67,71,62
6005,Grass,25,13,0,119,21,0,0,1,57,79,75
6006,Clay,22.3,1,3,51,8,4,5,1,43,86,62
6007,Hard,24.8,4,5,80,14,3,6,1,62,74,60
6008,Hard,25.7,1,1,52,8,4,9,0,67,49,44
6009,Clay,28.7,1,4,83,13,6,13,0,52,53,50
6010,Clay,21.3,1,2,37,5,5,5,1,78,72,67
6011,Hard,26.7,1,3,94,18,1,6,1,62,76,52
6012,Clay,26.9,3,2,112,15,10,12,1,67,69,57
6013,Clay,22.6,7,6,70,11,3,5,1,51,78,61
6014,Hard,29.6,1,1,69,10,5,6,0,68,68,57
6015,Hard,21.2,9,2,98,14,7,8,1,61,78,56
6016,Hard,34.5,2,1,58,9,4,9,0,60,54,36
6017,Clay,25.7,2,0,40,8,1,1,1,62,92,67
6018,Hard,21.9,4,6,72,9,5,10,0,50,64,43
6019,Hard,30.2,2,4,103,13,5,9,0,57,58,57
6020,Hard,30.3,9,6,86,14,3,6,0,55,83,45
6021,Hard,25.3,5,5,83,11,10,11,1,59,78,59
6022,Hard,33.4,8,6,102,14,7,11,0,61,65,44
6023,Clay,28.2,4,3,77,11,3,4,1,61,72,56
6024,Hard,29.2,5,3,59,9,1,2,1,49,76,63
6025,Clay,24.9,13,8,86,13,4,7,0,49,83,50
6026,Hard,35.3,5,1,115,18,1,2,1,80,78,73
6027,Clay,19.1,2,5,91,15,4,7,0,64,66,68
6028,Clay,23,2,8,100,18,1,5,1,67,75,64
6029,Carpet,27,26,10,109,17,8,12,1,57,81,49
6030,Hard,33.3,2,0,46,7,2,2,1,59,81,47
6031,Hard,22.2,1,8,93,14,5,10,0,40,59,67
6032,Clay,23.7,0,0,36,7,1,7,0,64,35,15
6033,Hard,27.5,5,3,82,15,3,5,1,57,83,56
6034,Grass,31.3,3,7,95,15,4,7,1,48,74,64
6035,Hard,26.4,6,3,73,11,3,3,1,67,80,62
6036,Clay,24.9,8,0,33,7,1,3,1,79,81,14
6037,Hard,24.6,6,5,60,10,3,5,1,57,76,67
6038,Clay,31.3,0,3,69,9,5,9,0,74,59,47
6039,Hard,29.6,5,6,93,17,2,6,1,59,67,72
6040,Hard,25.4,9,10,124,17,7,9,0,56,80,58
6041,Hard,24.3,8,3,54,11,0,1,1,63,88,76
6042,Hard,25.5,16,11,159,23,11,13,0,53,83,58
6043,Clay,22.7,5,4,156,22,13,21,0,67,65,43
6044,Clay,22,2,1,64,8,7,12,0,61,54,38
6045,Hard,23.7,9,3,90,15,6,8,1,53,81,67
6046,Clay,25,4,3,106,15,7,11,1,62,65,57
6047,Clay,29.5,4,4,62,10,2,5,0,40,80,45
6048,Grass,25.3,22,1,70,12,1,1,1,67,98,68
6049,Clay,23,2,1,77,14,1,7,0,60,70,33
6050,Clay,17.7,3,2,55,9,3,7,0,56,45,77
6051,Hard,28.9,4,2,51,9,1,1,1,59,80,74
6052,Hard,21.8,1,0,57,10,0,2,1,53,70,67
6053,Clay,26.7,8,4,152,21,8,12,1,64,66,64
6054,Clay,22.9,0,0,46,10,0,6,0,59,41,47
6055,Clay,26.6,3,1,48,9,0,0,1,54,85,71
6056,Hard,27.3,6,0,54,9,2,3,1,69,73,59
6057,Clay,18.9,2,3,50,7,9,14,0,44,50,40
6058,Hard,28.2,2,2,33,5,4,9,0,42,36,29
6059,Hard,34.4,15,1,92,15,3,4,0,65,87,42
6060,Hard,33.6,6,6,126,18,5,12,0,58,60,51
6061,Hard,28.4,2,3,67,10,3,5,0,66,75,50
6062,Hard,25.6,3,4,61,11,1,8,0,59,56,33
6063,Clay,30.7,18,7,104,16,6,10,0,49,78,63
6064,Hard,29.6,1,2,47,8,2,5,0,72,62,55
6065,Hard,28.5,11,3,41,8,0,0,1,59,83,86
6066,Hard,23.4,6,3,54,9,2,2,1,44,88,67
6067,Hard,26.8,3,2,55,8,5,5,1,45,80,64
6068,Carpet,26.1,0,9,40,6,1,6,0,35,57,35
6069,Hard,27.9,1,2,48,9,0,5,0,56,59,37
6070,Hard,23.9,4,4,74,13,4,8,1,57,69,57
6071,Grass,21.3,10,4,94,15,3,3,1,46,81,72
6072,Clay,29,3,2,74,9,7,12,0,49,56,50
6073,Grass,22,3,0,72,13,4,8,0,53,68,56
6074,Hard,34.4,13,5,162,24,7,13,0,63,64,53
6075,Grass,26.2,22,3,49,9,0,0,1,67,94,46
6076,Hard,23.5,15,6,105,17,5,5,1,63,80,79
6077,Clay,25.5,3,4,47,8,5,10,0,51,58,37
6078,Clay,25.3,3,3,93,12,8,11,1,67,61,64
6079,Clay,28.8,8,1,79,12,3,5,0,52,76,49
6080,Carpet,27.4,14,3,85,12,2,2,0,60,88,52
6081,Clay,18.7,2,0,50,9,1,1,1,62,81,74
6082,Clay,25.7,7,3,70,11,4,8,0,56,69,46
6083,Hard,22.5,11,6,137,24,3,6,0,67,76,62
6084,Hard,26.5,16,6,84,11,6,7,0,70,71,58
6085,Hard,28,3,2,59,10,1,2,1,51,80,63
6086,Hard,18.9,3,2,118,17,5,11,0,44,62,55
6087,Hard,23.4,9,4,59,9,4,6,1,68,78,40
6088,Hard,33.5,15,4,100,17,5,5,0,67,87,66
6089,Hard,25.6,1,4,52,10,0,2,0,44,87,60
6090,Hard,31.8,9,3,114,17,4,6,1,58,79,53
6091,Hard,35.8,19,5,108,16,7,9,1,53,75,59
6092,Clay,15.9,1,2,85,11,3,5,1,66,68,56
6093,Clay,30,3,1,38,6,0,0,1,68,65,91
6094,Hard,24,1,3,51,9,0,4,0,67,62,43
6095,Hard,28.6,32,9,165,23,10,14,1,68,77,48
6096,Clay,29.2,3,4,62,11,3,8,0,60,70,38
6097,Hard,22,34,5,118,24,2,5,0,64,85,71
6098,Clay,25.2,0,1,65,10,1,5,0,82,53,73
6099,Hard,34,4,1,88,14,3,8,0,50,64,51
6100,Hard,29.3,12,2,64,11,1,1,1,61,72,83
6101,Grass,35,9,4,109,16,5,5,1,65,77,76
6102,Hard,31,5,1,64,11,1,2,1,64,78,64
6103,Grass,25.8,5,3,66,10,4,4,1,52,79,69
6104,Hard,25.2,8,6,115,16,9,13,0,63,67,53
6105,Carpet,23.6,3,5,105,14,5,9,0,57,60,55
6106,Clay,25.2,0,2,45,7,2,6,0,58,54,41
6107,Clay,33,3,0,59,10,4,8,0,41,54,57
6108,Clay,19,4,0,59,10,2,3,1,49,79,63
6109,Clay,23.2,1,3,65,8,5,11,0,51,48,45
6110,Hard,33.6,10,9,80,13,4,5,1,59,81,71
6111,Grass,27.4,4,2,80,12,6,9,1,66,68,48
6112,Grass,21.7,2,3,39,7,0,0,1,62,88,67
6113,Hard,30.1,5,4,118,16,15,19,0,62,74,37
6114,Grass,30.7,5,3,80,14,3,3,1,69,84,77
6115,Hard,19.8,2,10,135,20,5,10,0,62,67,51
6116,Hard,24.2,6,4,105,15,7,11,0,62,65,56
6117,Grass,28.9,3,3,123,19,4,8,0,60,72,50
6118,Hard,27.5,8,1,60,10,1,3,0,67,72,47
6119,Clay,23.6,9,5,100,15,5,10,1,69,61,54
6120,Clay,27.5,1,0,48,7,1,5,0,83,45,38
6121,Hard,24.4,2,3,70,9,4,8,0,64,49,59
6122,Clay,25.6,5,5,126,18,3,6,0,56,64,71
6123,Hard,26,2,3,73,11,7,12,0,58,57,54
6124,Hard,20.6,15,10,88,16,4,8,1,66,81,60
6125,Hard,22.9,2,2,37,6,2,2,1,70,73,56
6126,Hard,24.4,8,5,92,15,5,7,1,57,77,63
6127,Clay,23.4,5,1,76,10,4,4,1,59,73,60
6128,Clay,25.3,4,3,80,14,8,12,1,62,66,63
6129,Hard,22.9,6,3,48,9,2,4,1,52,80,60
6130,Hard,29.1,8,2,77,11,6,8,1,58,71,53
6131,Hard,26.1,11,6,144,20,10,17,0,51,68,46
6132,Grass,22,1,2,84,13,7,14,0,80,46,60
6133,Hard,32.1,1,3,47,8,2,7,0,45,81,17
6134,Clay,26.2,7,4,75,12,2,4,1,36,85,61
6135,Hard,30.1,2,5,56,8,5,10,0,57,56,47
6136,Clay,22.6,2,2,57,10,2,5,1,72,66,50
6137,Hard,23.3,4,3,66,10,2,3,1,61,68,83
6138,Clay,31.9,0,1,72,12,7,11,1,65,57,71
6139,Hard,28.9,16,5,115,17,5,6,1,57,77,57
6140,Clay,25.2,3,2,82,12,5,9,1,71,62,50
6141,Hard,24.5,5,4,74,13,3,5,0,47,71,71
6142,Hard,33.4,2,0,34,6,1,3,1,56,74,40
6143,Grass,30.4,10,2,91,16,2,4,1,62,91,48
6144,Hard,25.5,3,1,61,9,4,8,0,66,62,40
6145,Clay,26.2,1,2,49,9,2,7,0,57,61,37
6146,Hard,27.4,3,2,99,14,7,13,0,66,60,53
6147,Hard,25.7,1,4,84,14,8,13,0,63,66,48
6148,Hard,22.4,2,9,97,13,6,10,0,52,66,58
6149,Hard,17.7,6,9,147,19,5,9,1,54,70,61
6150,Hard,30,8,4,158,25,9,11,1,68,73,59
6151,Hard,30.7,6,4,120,17,6,8,1,63,72,62
6152,Hard,34.9,7,8,95,14,7,10,0,59,77,52
6153,Grass,31.2,18,12,126,18,2,3,0,61,79,76
6154,Hard,31.1,2,6,166,25,9,12,0,57,69,62
6155,Hard,25.7,11,0,45,8,2,2,1,60,93,56
6156,Hard,28.6,5,1,52,10,1,2,1,58,77,81
6157,Grass,25.7,8,3,98,15,3,5,0,60,71,61
6158,Clay,28.8,0,2,87,14,6,9,0,66,67,64
6159,Hard,23.1,13,7,87,13,5,6,1,45,82,63
6160,Clay,26.7,9,4,111,17,3,7,0,52,74,51
6161,Hard,25.8,4,6,113,16,10,14,0,56,71,45
6162,Clay,32,5,7,64,10,2,7,0,52,55,54
6163,Hard,28.4,5,0,54,10,1,1,1,65,89,58
6164,Grass,23.3,5,1,71,9,7,10,0,66,62,43
6165,Hard,27.5,8,5,61,11,1,2,1,48,83,63
6166,Hard,28.4,14,1,96,16,1,5,0,55,79,52
6167,Clay,27.5,2,2,83,12,6,11,0,70,53,52
6168,Hard,27.9,1,2,46,7,2,2,1,59,63,88
6169,Clay,31.6,2,1,77,13,4,7,0,68,69,62
6170,Hard,26.3,8,2,48,9,1,2,1,48,96,57
6171,Hard,25.5,3,3,58,8,1,5,0,55,72,26
6172,Grass,25.5,27,5,170,27,3,4,1,56,83,68
6173,Clay,21.6,6,2,61,10,2,6,0,54,76,35
6174,Hard,30,6,6,132,20,10,17,0,59,60,56
6175,Grass,21.9,9,2,69,11,5,7,0,68,70,60
6176,Clay,24.6,2,1,64,10,5,7,1,67,60,75
6177,Hard,22.9,1,3,87,14,4,7,1,55,69,61
6178,Hard,27.8,6,1,86,14,6,10,1,65,75,38
6179,Hard,29.9,21,17,132,17,2,6,0,50,71,69
6180,Grass,31.1,9,2,58,10,0,1,0,52,90,50
6181,Hard,18.8,4,2,58,9,0,3,0,72,64,57
6182,Hard,21.4,3,4,64,11,1,2,1,67,77,88
6183,Hard,26.9,2,1,70,11,2,3,0,57,78,59
6184,Clay,25.9,1,2,84,11,6,9,1,61,69,48
6185,Carpet,28.4,4,0,64,11,0,2,1,67,72,52
6186,Clay,24,1,1,110,16,7,14,0,79,55,45
6187,Hard,24,6,1,90,13,4,8,1,62,71,45
6188,Hard,29.6,7,4,181,24,16,23,0,58,61,57
6189,Hard,23.5,8,0,48,9,2,2,1,71,88,57
6190,Hard,25.2,0,0,15,3,0,0,1,67,80,80
6191,Hard,22.6,21,2,96,15,3,3,1,72,87,48
6192,Grass,27.2,6,3,56,7,1,2,0,61,71,53
6193,Clay,25.4,10,7,109,16,5,8,1,54,76,58
6194,Hard,29.1,3,1,63,10,1,2,1,70,77,67
6195,Hard,28.6,6,2,60,9,5,8,0,70,67,44
6196,Grass,24.5,9,4,83,12,3,6,0,54,71,56
6197,Hard,22.7,3,1,72,11,1,4,0,82,63,42
6198,Hard,21.9,0,2,47,7,2,7,0,53,56,30
6199,Hard,21.3,10,4,99,13,7,12,0,72,61,54
6200,Clay,27.9,8,2,119,17,10,17,0,47,64,48
6201,Clay,18.9,0,1,93,14,9,13,1,69,55,68
6202,Clay,25.1,1,0,64,9,3,4,1,64,66,61
6203,Grass,24.7,21,3,156,23,4,5,1,57,80,61
6204,Clay,28.2,7,3,75,10,7,9,1,45,74,53
6205,Hard,21.3,9,0,68,11,4,5,1,71,75,55
6206,Hard,25.7,1,0,9,2,0,0,1,44,75,100
6207,Clay,22.5,3,5,83,15,0,3,0,75,71,81
6208,Grass,30.9,4,2,90,16,3,4,1,67,83,54
6209,Clay,30.8,8,3,112,17,7,13,0,44,65,52
6210,Hard,30.5,6,0,49,8,3,3,1,76,84,42
6211,Clay,34,1,8,81,13,10,15,0,58,62,69
6212,Grass,28.2,2,2,47,9,0,0,1,77,81,78
6213,Clay,25.7,4,0,46,8,1,2,1,80,70,56
6214,Hard,24.3,3,3,118,17,5,10,0,61,67,47
6215,Clay,26.3,5,3,56,8,2,9,0,73,46,25
6216,Grass,25.3,13,3,84,15,1,2,1,60,80,68
6217,Hard,20.1,0,1,98,14,13,18,0,67,53,58
6218,Hard,25.5,4,1,56,10,1,2,1,75,71,69
6219,Hard,23.2,14,4,65,11,1,3,0,58,82,57
6220,Hard,18.6,3,1,101,15,12,18,0,67,62,44
6221,Clay,27.6,5,6,140,14,17,23,0,54,67,37
6222,Clay,26.1,8,4,124,16,13,19,0,60,72,31
6223,Clay,21.7,14,1,73,10,7,8,1,70,75,52
6224,Grass,28.2,8,0,22,4,1,3,0,64,50,62
6225,Hard,28.3,4,1,105,17,1,4,0,73,71,56
6226,Hard,21.4,2,2,48,8,6,10,0,50,67,36
6227,Clay,29.7,2,1,51,9,3,3,1,86,75,100
6228,Hard,27.1,5,2,109,17,10,16,0,60,66,52
6229,Clay,35,2,2,54,9,1,1,1,59,84,55
6230,Hard,29.6,10,4,112,16,2,5,1,48,83,46
6231,Clay,23.1,1,4,57,12,1,4,0,56,75,67
6232,Hard,27.2,8,4,72,12,6,12,0,65,60,48
6233,Clay,25.2,4,5,70,11,3,5,0,51,78,52
6234,Clay,24.7,5,1,93,13,7,12,0,54,54,55
6235,Hard,23.2,6,5,65,12,1,4,1,54,74,60
6236,Hard,25,3,1,105,17,3,5,1,67,73,56
6237,Clay,19.7,3,7,74,12,3,6,1,53,74,64
6238,Clay,22.8,2,3,109,14,10,16,0,79,55,45
6239,Clay,28.4,5,2,59,8,7,7,1,42,84,59
6240,Hard,22.3,3,3,90,14,3,7,0,47,67,51
6241,Hard,24.1,4,1,84,12,6,8,0,63,68,53
6242,Clay,24.7,2,6,70,9,7,13,0,66,50,44
6243,Clay,27.8,5,1,64,11,0,1,1,52,82,70
6244,Clay,24.9,9,4,161,22,11,13,1,57,72,65
6245,Hard,29.5,9,2,44,8,3,4,1,61,89,53
6246,Clay,22.8,12,0,55,10,1,1,1,71,87,81
6247,Hard,23.6,5,3,99,15,6,10,1,58,63,56
6248,Grass,28.2,7,3,61,10,1,3,0,61,78,48
6249,Hard,31.8,4,2,62,10,0,0,1,71,75,81
6250,Hard,32.1,4,0,127,18,4,8,1,60,66,61
6251,Hard,27.8,7,2,91,15,6,7,1,79,79,65
6252,Hard,27.3,4,1,79,15,0,2,1,76,68,72
6253,Clay,22,6,2,87,14,2,6,0,52,80,48
6254,Grass,27.4,6,2,67,10,7,10,0,63,67,43
6255,Clay,29.7,4,4,66,10,7,11,0,55,69,50
6256,Hard,19.8,6,4,73,11,0,0,1,59,79,77
6257,Hard,21,2,2,66,10,8,8,1,58,68,77
6258,Hard,30.5,5,1,103,14,6,8,1,64,70,58
6259,Hard,20.9,5,7,142,23,4,7,1,57,68,69
6260,Hard,30.4,14,3,86,14,1,2,1,57,76,74
6261,Clay,22.6,1,3,115,16,12,16,1,66,64,56
6262,Grass,35.9,11,2,89,15,5,5,1,69,90,58
6263,Hard,33.2,15,2,90,16,0,3,0,64,81,47
6264,Hard,19.5,18,3,106,17,3,4,1,66,79,67
6265,Hard,24.2,4,5,106,16,6,10,1,63,69,50
6266,Hard,24.8,1,2,45,8,2,3,1,56,84,50
6267,Clay,24.9,1,1,75,11,2,4,0,65,65,64
6268,Grass,26,6,3,103,15,8,10,1,51,74,57
6269,Clay,21.4,8,2,85,15,3,7,1,61,73,58
6270,Clay,27.1,5,4,80,14,0,3,1,64,71,60
6271,Hard,20.8,0,4,59,8,6,11,0,54,50,43
6272,Hard,21.2,12,2,120,19,1,4,1,60,81,52
6273,Hard,23.7,7,3,85,14,2,5,0,67,67,60
6274,Clay,28,3,11,99,14,8,11,1,59,67,67
6275,Hard,23.7,3,1,56,9,3,6,0,48,63,57
6276,Clay,19.1,0,3,61,10,2,3,1,67,73,65
6277,Hard,26,8,7,88,14,5,6,1,60,85,64
6278,Carpet,29.3,0,0,53,7,9,14,0,62,48,40
6279,Clay,23.5,1,2,47,8,2,3,1,70,76,67
6280,Hard,22.1,10,3,87,14,4,7,0,46,70,61
6281,Hard,22.7,2,4,70,11,3,6,0,56,64,56
6282,Clay,30.9,2,0,9,2,0,0,1,56,100,75
6283,Hard,27.5,4,4,59,11,3,4,1,56,88,68
6284,Clay,29.1,6,0,71,11,1,1,1,66,79,75
6285,Clay,27.2,2,5,92,14,4,7,1,57,81,51
6286,Hard,26,1,2,36,7,1,6,0,58,48,38
6287,Carpet,22.5,2,1,37,7,1,5,0,73,59,0
6288,Hard,25.7,8,0,42,9,0,0,1,69,90,77
6289,Clay,30.6,7,3,55,11,0,2,1,58,84,65
6290,Hard,24.2,18,0,74,12,0,0,1,69,84,65
6291,Clay,25,1,1,41,8,1,5,0,46,63,43
6292,Clay,27.9,0,0,17,4,0,1,1,71,83,60
6293,Clay,20.2,2,4,80,14,2,7,0,52,67,47
6294,Hard,23.9,13,4,79,12,6,7,1,75,75,62
6295,Clay,24.5,0,6,72,10,2,6,0,53,61,57
6296,Hard,26.4,13,1,104,16,9,14,0,72,61,54
6297,Hard,22.1,5,2,59,10,6,10,0,69,61,50
6298,Hard,26.7,1,1,22,3,1,4,0,27,17,47
6299,Clay,23,3,5,53,7,6,11,0,72,47,50
6300,Hard,24.3,7,3,53,10,0,1,0,64,82,75
6301,Clay,21.7,9,4,84,11,8,13,0,61,63,38
6302,Hard,29.8,5,2,50,7,4,8,0,70,60,23
6303,Hard,22.6,5,4,117,18,4,8,1,61,66,60
6304,Clay,22.4,1,5,73,9,6,7,1,59,67,64
6305,Clay,31.5,1,4,74,11,10,14,0,65,60,59
6306,Clay,20.7,3,2,76,14,0,0,1,61,91,71
6307,Hard,31.3,6,3,53,9,2,4,0,64,76,56
6308,Hard,26.8,4,0,53,9,3,7,0,60,66,43
6309,Hard,21.3,1,3,62,9,6,9,0,53,67,50
6310,Hard,22.8,2,2,74,11,2,4,0,57,67,60
6311,Hard,30.4,0,0,122,15,13,16,1,51,71,47
6312,Hard,23.4,8,4,80,13,1,3,1,55,80,56
6313,Clay,21.9,1,4,67,9,4,5,1,45,73,61
6314,Clay,25.7,2,0,55,8,8,14,0,53,59,27
6315,Clay,22.9,3,2,108,16,9,12,1,56,67,63
6316,Clay,31.1,1,2,48,9,1,3,1,52,76,52
6317,Clay,29.8,4,1,83,14,5,8,0,61,73,55
6318,Hard,26.2,3,3,66,11,4,8,0,59,59,58
6319,Grass,20,6,2,103,15,2,2,1,72,76,56
6320,Hard,27.4,7,3,70,10,1,5,0,60,67,48
6321,Clay,33.9,12,1,44,8,1,1,1,61,93,50
6322,Grass,23.7,12,10,138,20,7,12,1,45,84,53
6323,Hard,35.2,13,15,161,23,7,13,1,56,71,57
6324,Clay,26.6,8,0,57,10,1,3,1,63,69,71
6325,Hard,26.6,6,0,84,12,7,12,0,67,68,29
6326,Clay,28.9,10,5,176,25,11,15,1,62,72,58
6327,Hard,27.1,8,3,72,11,3,7,0,53,50,68
6328,Hard,23.1,5,3,60,8,3,6,0,65,64,50
6329,Hard,22.2,8,2,101,19,1,6,1,60,75,61
6330,Clay,22.3,2,1,52,10,0,5,0,62,50,53
6331,Carpet,18.1,0,0,50,8,4,8,0,60,60,35
6332,Clay,32.4,1,4,63,10,3,9,0,68,49,44
6333,Hard,24.4,1,5,58,8,3,8,0,64,41,81
6334,Hard,27.3,6,1,60,11,0,1,1,75,80,79
6335,Hard,23.1,6,0,65,10,5,6,1,63,78,46
6336,Hard,37.9,9,5,58,10,1,2,0,59,74,79
6337,Clay,26.9,2,0,13,2,0,0,1,69,78,75
6338,Clay,30,2,4,115,16,7,12,0,58,60,55
6339,Hard,21.1,8,8,174,27,9,15,1,59,73,56
6340,Clay,25,7,5,101,15,5,7,1,55,77,55
6341,Hard,23,7,5,85,14,4,8,0,52,80,47
6342,Clay,27,1,0,4,1,0,0,1,75,100,100
6343,Hard,32.6,12,2,64,10,5,5,1,77,84,69
6344,Hard,22.3,1,3,32,7,1,6,0,44,29,53
6345,Carpet,22,0,3,45,7,3,7,0,62,50,50
6346,Hard,22.3,2,1,58,10,3,6,0,48,64,62
6347,Clay,27.3,1,7,42,6,1,7,0,36,33,45
6348,Hard,29.1,5,4,80,10,7,10,0,50,70,50
6349,Clay,20.5,1,3,39,7,0,4,0,51,60,44
6350,Clay,24.7,5,0,96,15,4,6,1,55,75,53
6351,Carpet,28,1,8,90,15,3,8,0,60,65,64
6352,Grass,21.5,4,1,59,9,5,6,1,63,65,71
6353,Hard,24,7,5,128,15,8,14,0,55,69,38
6354,Carpet,25.2,5,1,45,8,1,3,0,56,80,47
6355,Hard,25.4,10,3,50,9,0,1,1,64,84,53
6356,Hard,29.9,4,1,65,9,2,2,1,68,77,50
6357,Clay,29.5,11,5,131,17,10,13,1,73,68,52
6358,Clay,24.6,1,5,53,8,1,5,0,68,50,58
6359,Hard,32.5,11,5,85,14,3,6,0,68,72,68
6360,Hard,21,5,6,52,8,6,10,0,63,67,31
6361,Hard,32.6,1,3,47,8,5,9,0,47,59,45
6362,Hard,34.3,2,2,65,9,7,12,0,68,55,37
6363,Hard,25.1,7,3,74,12,3,3,1,57,81,66
6364,Hard,26,4,2,66,8,3,6,0,41,67,49
6365,Hard,25,1,1,64,9,5,9,0,67,53,50
6366,Hard,22.7,21,3,131,23,9,14,0,64,73,64
6367,Clay,27.1,2,1,138,21,0,5,1,67,68,57
6368,Hard,25.8,5,1,81,11,3,6,0,68,62,44
6369,Hard,19.6,2,2,38,7,2,6,0,47,56,39
6370,Clay,28.7,0,1,58,8,3,7,0,64,51,55
6371,Clay,30.6,2,1,68,11,1,5,0,54,62,47
6372,Clay,31.3,6,11,132,17,12,17,1,69,64,47
6373,Clay,20.6,3,0,63,8,7,12,0,68,58,30
6374,Hard,24.9,2,3,124,17,10,13,0,73,62,71
6375,Clay,24.7,0,1,104,18,2,5,1,68,68,59
6376,Clay,31.8,0,5,52,9,1,5,0,60,65,50
6377,Hard,22.5,8,5,94,14,6,9,0,64,75,55
6378,Hard,27.3,3,0,31,4,4,4,1,48,80,50
6379,Carpet,30.7,2,8,97,16,0,2,1,61,76,70
6380,Clay,21.1,0,3,43,8,3,9,0,49,48,26
6381,Clay,34.9,1,3,45,8,2,3,1,58,81,69
6382,Hard,30.6,3,6,103,15,4,6,1,58,67,70
6383,Clay,34.6,2,1,50,8,2,6,0,50,48,50
6384,Hard,28.3,10,1,57,9,1,2,1,67,79,56
6385,Hard,21.1,7,7,53,9,5,9,0,58,58,67
6386,Clay,26.1,1,4,82,13,6,12,0,50,54,51
6387,Hard,22.7,11,1,103,17,4,7,1,61,68,64
6388,Clay,27,0,0,31,5,3,3,1,77,67,86
6389,Carpet,25.2,3,1,114,17,5,9,0,59,75,50
6390,Clay,28.9,4,2,72,13,0,1,1,56,75,63
6391,Hard,27.2,7,0,99,14,2,4,0,74,75,46
6392,Hard,24.9,14,5,98,15,4,5,1,50,84,68
6393,Clay,24.9,1,0,78,11,8,9,1,77,68,61
6394,Carpet,22.1,13,1,61,10,1,3,0,57,71,48
6395,Hard,29.3,2,3,82,11,6,8,1,73,72,58
6396,Hard,26,0,3,82,13,2,6,0,67,64,58
6397,Hard,21.3,4,2,75,11,2,3,1,68,75,64
6398,Hard,24.9,0,0,32,7,0,4,0,62,45,25
6399,Hard,26.2,31,5,157,24,9,11,0,59,75,63
6400,Hard,29.5,11,0,101,16,2,4,0,60,79,55
6401,Hard,28.4,5,8,103,17,2,6,0,59,79,44
6402,Hard,31.4,10,2,55,9,1,3,0,60,70,55
6403,Clay,25.3,4,2,54,10,2,5,0,70,74,43
6404,Hard,34.1,5,3,87,14,2,5,1,51,66,65
6405,Hard,32.3,10,2,62,11,2,3,1,73,82,53
6406,Hard,23.5,9,1,62,12,0,0,1,53,88,71
6407,Hard,25,1,4,87,11,5,7,0,57,66,61
6408,Clay,22.6,0,3,67,9,8,13,0,70,51,53
6409,Clay,23.3,6,3,113,17,6,9,1,63,69,54
6410,Clay,26.7,0,1,39,7,3,7,0,64,52,46
6411,Hard,19.5,13,11,151,24,9,16,1,45,71,60
6412,Clay,17.3,0,7,50,8,2,7,0,56,50,53
6413,Clay,27.5,18,2,113,19,3,8,0,53,65,67
6414,Hard,29.2,12,2,71,12,2,5,0,56,72,52
6415,Clay,26,0,1,59,9,6,12,0,56,55,32
6416,Clay,25.2,3,2,51,9,4,8,0,67,59,47
6417,Clay,29.2,1,2,92,15,2,5,0,60,64,63
