index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59614,Hard,23.1,3,1,55,10,0,0,1,53,86,64
59615,Hard,27.6,3,1,53,8,1,4,0,77,59,55
59616,Grass,32.1,2,1,81,11,10,14,0,52,64,45
59617,Hard,23.5,4,1,59,8,2,5,0,61,58,50
59618,Hard,34.3,5,1,64,10,1,3,1,53,74,55
59619,Hard,27.8,5,1,48,7,1,2,0,60,66,72
59620,Clay,23,4,3,43,7,2,3,1,56,67,75
59621,Hard,19,8,3,73,10,6,10,0,48,71,46
59622,Grass,32.4,3,3,117,14,10,11,0,66,74,49
59623,Clay,28.2,2,1,72,14,1,5,1,72,63,63
59624,Hard,22.4,7,1,105,17,2,4,1,72,75,46
59625,Clay,25.3,8,2,97,16,4,8,1,64,71,52
59626,Grass,26.5,9,8,140,21,2,5,0,57,78,60
59627,Hard,19.8,5,4,60,10,1,3,1,63,76,72
59628,Hard,26.2,6,7,58,10,5,11,0,60,57,50
59629,Clay,24,5,4,97,13,9,16,0,51,61,43
59630,Hard,18.4,9,1,66,12,0,0,0,65,81,77
59631,Hard,26.2,7,1,82,14,5,9,1,72,71,41
59632,Hard,23.1,5,3,70,12,2,6,1,66,76,57
59633,Clay,25.7,5,1,54,10,0,2,0,52,82,52
59634,Clay,26.2,0,3,75,12,3,4,1,63,74,56
59635,Hard,28.9,0,4,30,4,3,5,0,43,46,46
59636,Hard,25.2,1,3,57,8,5,8,0,67,61,56
59637,Hard,26.5,6,1,38,8,0,0,1,74,93,67
59638,Hard,25,6,7,104,14,12,15,0,51,70,57
59639,Grass,24.9,5,2,72,9,3,5,0,60,74,41
59640,Hard,32.3,9,4,50,10,3,4,1,64,91,71
59641,Hard,33.7,3,1,62,10,3,4,1,47,69,69
59642,Hard,23.5,5,3,74,13,4,10,0,65,71,22
59643,Clay,31.5,6,5,82,14,4,5,1,63,87,56
59644,Hard,21.6,0,3,108,17,9,16,0,56,62,44
59645,Hard,33.2,5,1,91,15,6,10,1,63,70,52
59646,Hard,27.4,1,2,75,15,1,4,1,63,74,65
59647,Hard,32.6,7,3,88,16,7,12,0,53,70,53
59648,Hard,23.8,8,7,70,10,5,8,0,44,77,47
59649,Grass,25.5,22,6,139,25,6,9,1,66,79,66
59650,Grass,28.4,0,5,65,11,5,11,0,52,53,46
59651,Hard,27.8,5,1,44,9,0,0,1,70,87,83
59652,Grass,18.9,14,6,148,20,8,12,0,65,79,48
59653,Hard,24.8,9,4,61,9,4,4,1,52,84,60
59654,Hard,27.3,5,2,58,9,3,4,1,57,73,52
59655,Hard,28.6,8,6,113,16,6,9,1,57,72,60
59656,Clay,26.2,2,5,87,15,4,7,0,49,81,56
59657,Hard,29.6,7,1,53,10,2,4,0,66,71,65
59658,Hard,25.7,6,1,54,9,0,1,1,69,78,62
59659,Hard,27.6,1,2,51,8,5,9,0,65,64,31
59660,Clay,28.1,0,0,61,10,2,10,0,72,48,18
59661,Hard,24.8,7,3,65,11,2,4,1,68,73,67
59662,Hard,25.8,12,1,145,17,9,10,0,57,72,59
59663,Clay,21.5,6,1,92,14,5,10,0,58,53,63
59664,Hard,21.9,2,2,68,11,2,4,1,51,69,68
59665,Hard,22,3,7,117,14,12,18,0,50,66,41
59666,Hard,25.6,2,0,45,8,0,6,0,53,42,29
59667,Grass,28.2,8,0,58,9,0,0,1,64,78,57
59668,Clay,24.2,1,2,64,10,2,4,1,64,61,67
59669,Hard,26.1,5,2,76,10,3,6,0,58,66,47
59670,Hard,26.6,10,3,70,11,1,2,0,73,73,75
59671,Hard,20.3,5,3,119,16,8,9,1,62,70,71
59672,Clay,33.1,2,1,55,9,4,7,0,55,70,42
59673,Clay,24.4,4,2,110,15,5,7,1,55,72,53
59674,Hard,24.2,7,7,135,20,7,10,1,64,73,67
59675,Hard,33.7,10,6,143,21,9,19,0,66,56,49
59676,Hard,21.1,4,12,78,11,6,13,0,50,67,33
59677,Clay,18.1,1,0,51,9,0,1,1,61,77,50
59678,Clay,22.8,3,1,34,7,0,1,1,47,81,76
59679,Hard,32,7,3,78,10,6,8,0,62,67,59
59680,Clay,24.2,3,6,115,18,8,11,1,65,72,62
59681,Clay,27.8,1,0,50,8,5,7,1,56,64,59
59682,Clay,22.6,4,5,61,8,5,10,0,51,65,36
