level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
4298,4298,Halle,Grass,20180618,103819,36.8,105332,6-3 3-6 7-6(7),R16,7,0,90,57,42,20,15,3,5,1,63,74,61
4302,4302,Halle,Grass,20180618,103819,36.8,105051,7-6(2) 7-5,QF,6,0,65,36,30,19,12,2,4,1,55,83,66
4304,4304,Halle,Grass,20180618,103819,36.8,106045,7-6(1) 7-5,SF,12,3,75,50,42,13,12,6,7,1,67,84,59
4390,4390,Wimbledon,Grass,20180702,103819,36.8,105583,6-1 6-3 6-4,R128,8,1,63,45,41,11,13,0,0,1,71,91,65
4453,4453,Wimbledon,Grass,20180702,103819,36.8,105041,6-4 6-4 6-1,R64,16,0,61,43,40,12,13,0,0,1,70,93,67
4485,4485,Wimbledon,Grass,20180702,103819,36.8,105526,6-3 7-5 6-2,R32,10,2,74,40,37,23,15,0,0,1,54,92,72
4501,4501,Wimbledon,Grass,20180702,103819,36.8,105173,6-0 7-5 6-4,R16,13,0,76,51,46,13,14,4,4,1,67,90,52
4860,4860,Cincinnati Masters,Hard,20180813,103819,37,105376,6-4 6-4,R32,12,4,61,39,31,15,10,5,5,1,64,79,83
4876,4876,Cincinnati Masters,Hard,20180813,103819,37,104919,6-1 7-6(6),R16,10,1,54,38,34,11,10,0,0,1,70,89,73
4884,4884,Cincinnati Masters,Hard,20180813,103819,37,104527,6-7(2) 7-6(6) 6-2,QF,7,1,90,50,42,30,16,0,0,1,56,84,77
4888,4888,Cincinnati Masters,Hard,20180813,103819,37,105676,7-6(3) 1-1 RET,SF,9,2,45,32,24,9,7,0,0,1,71,75,82
5000,5000,US Open,Hard,20180827,103819,37,106415,6-2 6-2 6-4,R128,14,3,82,55,43,13,13,8,9,1,67,78,54
5032,5032,US Open,Hard,20180827,103819,37,105332,7-5 6-4 6-4,R64,5,5,95,55,41,25,16,4,6,1,58,75,71
5048,5048,US Open,Hard,20180827,103819,37,106401,6-4 6-1 7-5,R32,16,1,92,61,53,15,15,4,4,1,66,87,50
5321,5321,Shanghai Masters,Hard,20181008,103819,37.1,106421,6-4 4-6 6-4,R32,10,0,86,61,50,9,15,1,3,1,71,82,36
5329,5329,Shanghai Masters,Hard,20181008,103819,37.1,105138,6-3 2-6 6-4,R16,8,1,81,54,37,17,14,2,5,1,67,69,65
5333,5333,Shanghai Masters,Hard,20181008,103819,37.1,105453,6-4 7-6(4),QF,10,1,84,60,39,13,11,4,6,1,71,65,57
5431,5431,Basel,Hard,20181022,103819,37.2,105936,6-2 4-6 6-4,R32,10,6,93,44,31,24,14,10,14,1,47,70,56
5439,5439,Basel,Hard,20181022,103819,37.2,105526,6-3 7-5,R16,7,5,60,32,25,18,11,0,1,1,53,78,78
5443,5443,Basel,Hard,20181022,103819,37.2,104468,7-6(1) 4-6 6-4,QF,15,4,110,65,46,20,16,5,10,1,59,71,49
5445,5445,Basel,Hard,20181022,103819,37.2,106421,6-1 6-4,SF,6,5,55,30,26,10,9,2,3,1,55,87,50
5446,5446,Basel,Hard,20181022,103819,37.2,105657,7-6(5) 6-4,F,6,3,65,34,32,17,11,3,5,1,52,94,61
5509,5509,Paris Masters,Hard,20181029,103819,37.2,104926,6-4 6-3,R16,8,2,54,27,22,16,9,4,5,1,50,81,64
5516,5516,Paris Masters,Hard,20181029,103819,37.2,105453,6-4 6-4,QF,7,2,56,29,28,16,10,1,1,1,52,97,64
5542,5542,Tour Finals,Hard,20181112,103819,37.2,106233,6-2 6-3,RR,4,0,38,22,19,13,8,0,0,1,58,86,81
5543,5543,Tour Finals,Hard,20181112,103819,37.2,104731,6-4 6-3,RR,3,1,50,29,23,13,9,3,4,1,58,79,65
7909,7909,Australian Open,Hard,20200120,103819,38.4,105449,6-3 6-2 6-2,R128,11,1,66,49,40,13,13,1,1,1,74,82,81
7949,7949,Australian Open,Hard,20200120,103819,38.4,105936,6-1 6-4 6-1,R64,14,0,68,47,36,13,12,2,3,1,69,77,62
7968,7968,Australian Open,Hard,20200120,103819,38.4,105357,4-6 7-6(2) 6-4 4-6 7-6(8),R32,16,6,170,111,85,30,27,4,8,1,65,77,57
7978,7978,Australian Open,Hard,20200120,103819,38.4,105916,4-6 6-1 6-2 6-2,R16,5,0,103,63,48,21,17,7,9,1,61,76,52
7983,7983,Australian Open,Hard,20200120,103819,38.4,105815,6-3 2-6 2-6 7-6(8) 6-3,QF,5,3,171,112,80,31,23,10,14,1,65,71,55
9141,9141,Madrid Masters,Hard,20081012,103819,27.1,103285,6-3 7-6(6),R32,10,1,65,40,37,15,11,0,0,1,62,92,62
9149,9149,Madrid Masters,Hard,20081012,103819,27.1,104542,6-4 6-1,R16,9,1,50,31,25,13,9,4,4,1,62,81,72
9153,9153,Madrid Masters,Hard,20081012,103819,27.1,105223,6-3 6-3,QF,3,0,53,37,29,9,9,1,1,1,70,78,56
9525,9525,Basel,Hard,20081020,103819,27.2,104035,6-3 6-7(6) 6-3,R32,17,2,89,53,44,24,16,0,0,1,60,83,71
9541,9541,Basel,Hard,20081020,103819,27.2,103813,7-6(6) 7-6(1),R16,11,0,89,64,44,14,12,5,8,1,72,69,56
9549,9549,Basel,Hard,20081020,103819,27.2,104620,6-2 6-3,QF,8,1,56,39,33,8,9,1,1,1,70,85,50
9553,9553,Basel,Hard,20081020,103819,27.2,103852,6-3 6-2,SF,15,2,54,31,28,12,9,2,2,1,57,90,57
9555,9555,Basel,Hard,20081020,103819,27.2,103900,6-3 6-4,F,8,0,47,30,26,14,10,0,0,1,64,87,82
9804,9804,Paris Masters,Hard,20081026,103819,27.2,104417,6-4 7-6(7),R32,10,0,60,42,38,12,11,0,0,1,70,90,67
9812,9812,Paris Masters,Hard,20081026,103819,27.2,105227,6-3 6-4,R16,4,0,61,37,26,16,10,1,2,1,61,70,67
9942,9942,Miami Masters,Hard,20080327,103819,26.6,104792,6-3 6-4,R64,2,1,67,46,35,13,10,7,7,1,69,76,65
9974,9974,Miami Masters,Hard,20080327,103819,26.6,104417,6-4 3-0 RET,R32,6,1,41,29,23,6,7,3,4,1,71,79,55
9990,9990,Miami Masters,Hard,20080327,103819,26.6,104076,7-6(5) 6-2,R16,12,4,55,39,36,9,10,0,0,1,71,92,75
10037,10037,Indian Wells Masters,Hard,20080313,103819,26.5,104198,6-3 6-2,R64,6,0,48,29,22,15,9,1,1,1,60,76,79
10069,10069,Indian Wells Masters,Hard,20080313,103819,26.5,103917,6-1 6-1,R32,9,1,32,24,23,5,7,0,0,1,75,96,71
10085,10085,Indian Wells Masters,Hard,20080313,103819,26.5,103344,6-3 6-4,R16,6,0,51,38,30,8,10,2,3,1,75,79,62
10154,10154,Monte Carlo Masters,Clay,20080420,103819,26.7,103105,6-1 3-6 7-6(1),R32,5,3,92,57,39,19,14,4,7,1,62,68,59
10170,10170,Monte Carlo Masters,Clay,20080420,103819,26.7,104792,6-3 6-4,R16,0,0,57,36,22,17,10,0,1,1,63,61,81
10178,10178,Monte Carlo Masters,Clay,20080420,103819,26.7,103900,5-7 6-2 6-2,QF,9,2,88,46,34,24,14,3,5,1,52,74,60
10182,10182,Monte Carlo Masters,Clay,20080420,103819,26.7,104925,6-3 3-2 RET,SF,1,0,42,22,18,10,7,3,4,1,52,82,50
10209,10209,Hamburg Masters,Clay,20080511,103819,26.7,103813,6-1 6-3,R32,2,0,42,33,22,5,8,0,2,1,79,67,56
10225,10225,Hamburg Masters,Clay,20080511,103819,26.7,104417,6-3 6-2,R16,6,0,48,25,21,16,9,2,2,1,52,84,70
10233,10233,Hamburg Masters,Clay,20080511,103819,26.7,104269,6-3 6-3,QF,2,1,55,38,28,11,9,3,3,1,69,74,69
10237,10237,Hamburg Masters,Clay,20080511,103819,26.7,104312,6-3 6-1,SF,1,0,46,24,19,14,8,1,1,1,52,79,64
10264,10264,Rome Masters,Clay,20080505,103819,26.7,103084,6-3 6-3,R32,8,0,51,29,22,17,9,1,1,1,57,76,77
10280,10280,Rome Masters,Clay,20080505,103819,26.7,103333,7-6(4) 6-3,R16,2,0,55,32,26,19,10,2,2,1,58,81,83
10434,10434,Cincinnati Masters,Hard,20080728,103819,26.9,104068,6-7(2) 7-6(5) 6-0,R32,21,2,94,60,50,16,15,3,6,1,64,83,50
10746,10746,Estoril,Clay,20080414,103819,26.6,103694,4-6 6-3 6-2,R32,17,3,79,46,41,16,14,1,2,1,58,89,53
10762,10762,Estoril,Clay,20080414,103819,26.6,103812,6-3 6-2,R16,3,1,48,26,22,15,9,0,0,1,54,85,71
10770,10770,Estoril,Clay,20080414,103819,26.6,104523,6-4 6-1,QF,5,1,50,35,26,7,9,3,5,1,70,74,50
10774,10774,Estoril,Clay,20080414,103819,26.6,103823,2-6 7-5 6-1,SF,10,0,73,51,36,14,14,1,4,1,70,71,64
10776,10776,Estoril,Clay,20080414,103819,26.6,103786,7-6(5) 1-2 RET,F,5,0,58,36,26,11,8,4,5,1,62,72,50
10901,10901,Halle,Grass,20080609,103819,26.8,103582,6-4 6-2,R32,11,1,48,37,33,5,9,1,1,1,77,89,50
10917,10917,Halle,Grass,20080609,103819,26.8,102788,7-5 6-3,R16,5,0,56,43,35,9,11,0,0,1,77,81,69
10925,10925,Halle,Grass,20080609,103819,26.8,104571,6-4 6-4,QF,0,0,58,45,33,10,10,4,4,1,78,73,77
10929,10929,Halle,Grass,20080609,103819,26.8,103017,6-1 6-4,SF,7,1,59,37,27,13,9,4,4,1,63,73,62
10931,10931,Halle,Grass,20080609,103819,26.8,104259,6-3 6-4,F,6,0,51,36,31,10,10,2,2,1,71,86,67
