level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
32150,32150,Australian Open,Hard,20110117,104918,23.6,105238,7-5 6-3 6-7(3) 6-3,QF,9,5,118,69,52,30,22,1,5,1,58,75,68
32153,32153,Australian Open,Hard,20110117,104918,23.6,103970,4-6 7-6(2) 6-1 7-6(2),SF,9,3,151,91,68,22,21,13,18,1,60,75,39
32784,32784,Monte Carlo Masters,Clay,20110410,104918,23.9,103285,6-1 6-4,R32,7,1,47,28,22,11,8,4,5,1,60,79,61
32798,32798,Monte Carlo Masters,Clay,20110410,104918,23.9,104468,6-3 6-3,R16,0,1,49,27,19,10,9,2,5,1,55,70,48
32805,32805,Monte Carlo Masters,Clay,20110410,104918,23.9,104523,6-2 6-1,QF,6,1,44,22,19,13,7,3,3,1,50,86,62
32985,32985,Madrid Masters,Clay,20110501,104918,23.9,104468,6-4 3-6 6-0,R32,8,3,95,59,39,18,12,8,10,1,62,66,55
33039,33039,Rome Masters,Clay,20110508,104918,23.9,103598,6-2 2-6 6-3,R32,9,2,92,47,33,18,13,8,13,1,51,70,42
33049,33049,Rome Masters,Clay,20110508,104918,23.9,103808,6-2 6-3,R16,3,1,45,32,26,8,9,0,1,1,71,81,67
33054,33054,Rome Masters,Clay,20110508,104918,23.9,104252,1-6 6-1 6-1,QF,1,1,66,36,22,16,11,3,7,1,55,61,55
33128,33128,Roland Garros,Clay,20110522,104918,24,103799,6-4 6-1 6-3,R128,12,2,77,45,39,14,13,3,5,1,58,87,47
33184,33184,Roland Garros,Clay,20110522,104918,24,104620,7-6(3) 6-4 7-5,R64,10,7,109,72,50,18,17,9,13,1,66,69,60
33212,33212,Roland Garros,Clay,20110522,104918,24,103582,6-2 6-3 6-2,R32,7,0,79,53,41,11,13,1,2,1,67,77,42
33226,33226,Roland Garros,Clay,20110522,104918,24,104678,4-6 4-6 6-3 6-2 7-5,R16,12,1,150,85,65,27,25,6,13,1,57,76,42
33233,33233,Roland Garros,Clay,20110522,104918,24,103428,7-6(2) 7-5 6-2,QF,9,4,118,61,41,29,16,12,17,1,52,67,55
33308,33308,Queen's Club,Grass,20110606,104918,24,103598,6-3 5-7 6-3,R32,12,1,89,55,38,25,15,5,6,1,62,69,76
